Timestamp,CPU_Usage_Percent,GPU_Usage_Percent
0.0,1.0,2
1.0242602825164795,13.1,2
2.047504186630249,17.4,2
3.048370599746704,19.6,3
4.049271821975708,20.4,7
5.050257682800293,7.6,6
6.05148458480835,10.2,5
7.056794166564941,12.8,8
8.074263572692871,15.3,7
9.075354814529419,20.3,6
10.087379693984985,17.6,8
11.091240882873535,16.2,11
12.092417240142822,8.5,1
13.094412803649902,13.6,1
14.117558240890503,19.3,1
15.125476837158203,12.1,1
16.126636028289795,11.6,1
17.143200397491455,14.6,2
18.165695667266846,13.6,1
19.195767164230347,11.6,1
20.202909469604492,8.7,1
21.203817129135132,13.6,1
22.212260007858276,11.3,1
23.22498631477356,17.4,1
24.226499319076538,14.0,2
25.243009090423584,13.8,1
26.24711799621582,15.9,2
27.248128414154053,8.8,1
28.249290943145752,8.5,1
29.266391038894653,7.3,1
30.28887629508972,6.1,1
31.290409803390503,7.0,1
32.308064699172974,7.3,1
33.32544493675232,7.8,1
34.326751470565796,7.9,1
35.33092474937439,9.4,1
36.33203601837158,19.3,1
37.333903074264526,8.5,1
38.36831212043762,14.5,1
39.398231983184814,7.8,1
40.41507005691528,8.1,1
41.430540323257446,6.4,1
42.4617075920105,6.2,1
43.50824451446533,6.0,1
44.509759187698364,7.4,1
45.518468141555786,7.0,1
46.53949856758118,6.3,1
47.571138858795166,7.2,1
48.582839250564575,7.9,1
49.60435724258423,6.5,1
50.622557401657104,7.3,1
51.649075746536255,8.3,1
52.65455389022827,7.8,2
53.65546536445618,7.1,2
54.656620264053345,7.1,1
55.68021583557129,7.3,1
56.70236158370972,8.0,1
57.71163558959961,7.9,1
58.73463273048401,9.0,1
59.74570155143738,8.8,1
60.74672985076904,7.1,1
61.75165390968323,11.8,1
62.76847863197327,7.6,1
63.805376052856445,7.7,1
64.80991744995117,6.2,1
65.82693648338318,6.4,1
66.84973502159119,6.6,1
67.85106754302979,6.4,1
68.85217905044556,6.3,1
69.853346824646,7.0,1
70.85463309288025,16.1,2
71.8677384853363,19.6,1
72.86940217018127,8.3,1
73.87062621116638,6.0,0
74.87467813491821,5.8,0
75.87593841552734,6.6,16
76.8886616230011,9.3,0
77.89010524749756,6.2,0
78.9072253704071,6.0,0
79.91173601150513,6.7,0
80.91468358039856,6.0,0
81.91973328590393,6.7,0
82.92110538482666,5.4,0
83.92263960838318,5.9,0
84.93237638473511,5.7,0
85.93460702896118,5.2,0
86.93593168258667,6.3,0
87.95319437980652,6.7,0
88.97396850585938,6.3,0
89.99201893806458,5.9,0
90.9932451248169,6.1,0
91.9949517250061,5.8,0
93.0041720867157,6.2,0
94.01252579689026,5.8,0
95.02943205833435,6.3,0
96.05934476852417,12.2,0
97.08669972419739,12.0,0
98.09580445289612,7.5,0
99.0971896648407,6.3,0
100.09842872619629,5.1,0
101.09966087341309,6.2,0
102.11656856536865,6.1,0
103.15481090545654,5.9,0
104.16230368614197,5.9,0
105.17955589294434,5.5,0
106.22478556632996,6.5,37
107.2261950969696,5.7,0
108.24301886558533,6.9,0
109.24448728561401,5.8,0
110.26157426834106,6.0,0
111.28066778182983,6.8,0
112.28265833854675,5.5,0
113.2953372001648,6.2,0
114.31268334388733,6.0,0
115.33609366416931,6.1,0
116.35830521583557,5.7,0
117.38341498374939,6.4,0
118.38460326194763,6.4,0
119.40186190605164,6.3,0
120.40828466415405,6.9,0
121.40972542762756,5.7,0
122.41091418266296,13.2,0
123.4198706150055,6.9,0
124.42112827301025,14.1,0
125.42793846130371,11.6,0
126.44629859924316,9.7,0
127.46303296089172,6.7,0
128.46406149864197,6.6,0
129.4680826663971,6.7,0
130.47183537483215,5.4,0
131.47329449653625,5.7,0
132.4903588294983,6.5,0
133.49181985855103,6.0,0
134.49322366714478,6.3,0
135.5239064693451,5.8,0
136.52607345581055,6.4,0
137.52730631828308,5.5,16
138.56031131744385,6.0,0
139.59746289253235,5.6,0
140.626704454422,6.4,0
141.6456184387207,6.2,0
142.64690232276917,5.7,0
143.66395735740662,5.6,0
144.69519925117493,5.7,0
145.6989529132843,6.5,0
146.7203347682953,5.5,0
147.74420022964478,6.4,16
148.75275897979736,7.7,0
149.75421905517578,6.5,0
150.7558422088623,6.0,0
151.77277493476868,5.7,0
152.79065346717834,5.9,0
153.80765438079834,5.8,0
154.82922077178955,12.9,0
155.84633493423462,12.3,0
156.85806560516357,5.7,0
157.85925197601318,6.6,0
158.86047339439392,7.5,0
159.87567591667175,7.3,0
160.89141654968262,5.8,0
161.90079712867737,6.1,0
162.91732501983643,6.8,0
163.954110622406,7.9,0
165.0045657157898,5.9,0
166.02327489852905,7.1,0
167.0320382118225,6.1,0
168.03386664390564,5.7,0
169.0393886566162,6.7,0
170.04071974754333,6.4,0
171.04185128211975,6.2,0
172.043470621109,5.6,0
173.07167315483093,5.8,0
174.09109449386597,6.5,0
175.1088888645172,6.7,0
176.12970232963562,5.1,0
177.15477228164673,5.9,0
178.17443799972534,6.1,0
179.2025351524353,5.1,0
180.2430202960968,7.0,0
181.26799249649048,12.1,0
182.28763103485107,28.8,1
183.31029677391052,13.1,2
184.33080077171326,16.4,1
185.35495972633362,13.5,0
186.36893844604492,16.3,1
187.38381433486938,25.1,1
188.3993673324585,22.4,1
189.43478393554688,19.1,1
190.44044375419617,19.0,3
191.44171047210693,20.6,1
192.45729613304138,29.0,1
193.45876502990723,24.1,2
194.45998358726501,18.4,1
195.4608612060547,12.8,2
196.46208930015564,18.4,1
197.4660141468048,16.9,1
198.47784614562988,20.1,2
199.5100884437561,25.0,2
200.53758025169373,14.6,1
201.53851342201233,12.4,1
202.55037355422974,14.3,2
203.56364130973816,16.1,1
204.6031186580658,17.5,2
205.60408306121826,12.0,1
206.6265745162964,19.5,1
207.63257956504822,20.6,0
208.63383984565735,13.2,3
209.64572262763977,12.5,0
210.6471815109253,10.0,2
211.64828395843506,6.9,0
212.64905905723572,8.2,0
213.6643693447113,13.0,0
214.6807827949524,7.2,0
215.68448781967163,11.5,0
216.68719244003296,9.8,1
217.6895091533661,14.8,0
218.71462440490723,12.8,0
219.7582757472992,14.0,0
220.76392126083374,15.9,0
221.7741997241974,14.3,0
222.79353713989258,12.8,17
223.8148684501648,14.7,0
224.8399465084076,14.3,0
225.8466591835022,12.7,0
226.8480978012085,13.1,2
227.8491222858429,7.6,0
228.86586356163025,13.7,0
229.8833863735199,7.1,0
230.88590288162231,7.2,0
231.88691473007202,6.9,0
232.89012789726257,7.9,0
233.8973252773285,18.7,0
234.9025547504425,14.3,1
235.9035303592682,7.2,0
236.90489053726196,14.9,0
237.90661025047302,6.3,0
238.91278100013733,6.3,0
239.94615983963013,7.1,0
240.94964790344238,7.2,0
241.95117688179016,6.4,0
242.95530104637146,11.6,0
243.97766971588135,7.3,0
245.00500011444092,6.8,0
246.0225691795349,5.9,0
247.03952741622925,8.1,0
248.0409677028656,7.1,0
249.04245710372925,7.9,0
250.06841897964478,6.1,0
251.10267162322998,7.0,0
252.13337898254395,7.3,0
253.14941668510437,7.0,0
254.166748046875,8.4,0
255.19631481170654,7.2,0
256.2430474758148,7.2,0
257.25649547576904,12.0,0
258.25769329071045,9.9,1
259.258492231369,9.8,0
260.25973415374756,7.2,0
261.2748911380768,7.4,0
262.297908782959,6.3,0
263.3446099758148,6.6,0
264.3624246120453,6.8,6
265.3686888217926,6.8,0
266.39935302734375,6.1,0
267.4045994281769,6.3,0
268.421231508255,6.8,0
269.43966007232666,6.9,0
270.4405801296234,6.0,0
271.4439458847046,7.2,0
272.4483172893524,6.5,0
273.4619481563568,7.7,0
274.4797270298004,7.5,0
275.49812150001526,11.2,0
276.5241208076477,9.1,0
277.56875133514404,7.4,0
278.5849418640137,9.0,0
279.58741068840027,7.2,0
280.58916878700256,13.9,2
281.60589385032654,13.0,1
282.62018513679504,20.6,1
283.6334879398346,9.1,0
284.6349148750305,9.2,0
285.64907336235046,7.8,0
286.67505383491516,7.3,0
287.7099800109863,7.5,0
288.7288098335266,15.2,0
289.73096561431885,15.7,0
290.75578022003174,13.4,0
291.78997135162354,12.6,0
292.7966659069061,13.1,1
293.79778933525085,11.2,0
294.8094446659088,6.6,0
295.8149485588074,6.9,0
296.8346993923187,13.8,0
297.8509862422943,6.6,0
298.85204792022705,19.2,0
299.8683907985687,19.4,1
300.88576102256775,11.0,1
301.8948926925659,10.4,1
302.910484790802,22.1,0
303.9307734966278,12.9,0
304.98295736312866,11.3,1
306.0085608959198,17.4,0
307.0470733642578,6.4,0
308.08764386177063,7.2,0
309.10974383354187,8.4,0
310.14922547340393,6.0,0
311.16032814979553,7.3,0
312.1619007587433,7.9,0
313.18472838401794,7.4,1
314.22569847106934,10.2,0
315.256710767746,18.1,0
316.27056908607483,7.3,0
317.27214670181274,8.4,0
318.3057436943054,6.9,0
319.3135542869568,6.7,0
320.3365595340729,7.1,0
321.36798548698425,6.6,0
322.38666915893555,6.3,0
323.3880934715271,8.3,0
324.38964891433716,7.4,0
325.3967618942261,8.8,0
326.3981146812439,11.0,0
327.4067792892456,13.4,2
328.439555644989,12.9,0
329.4563658237457,6.4,0
330.45885491371155,7.1,0
331.45981073379517,7.0,0
332.46186876296997,7.0,0
333.4665970802307,6.8,0
334.46797728538513,6.1,0
335.48919558525085,15.3,0
336.49684619903564,10.8,0
337.52322912216187,7.5,0
338.53767585754395,11.9,0
339.5395088195801,8.0,0
340.5553152561188,6.8,0
341.5717399120331,6.5,0
342.58689761161804,6.7,0
343.636421918869,6.2,0
344.6502261161804,6.0,0
345.66668248176575,6.5,0
346.68472504615784,6.4,0
347.693076133728,6.5,0
348.6947181224823,6.0,0
349.7018973827362,6.5,0
350.70319271087646,6.6,0
351.704576253891,6.5,0
352.70577573776245,5.9,0
353.7067801952362,6.8,0
354.7082142829895,6.5,0
355.7098128795624,6.5,0
356.71276330947876,8.3,0
357.71961998939514,10.1,1
358.72097396850586,9.4,0
359.7436397075653,13.4,0
360.77446937561035,17.8,0
361.7864308357239,7.3,0
362.78722524642944,7.9,0
363.80542945861816,11.1,0
364.82875633239746,6.7,0
365.86528873443604,6.3,0
366.89190196990967,6.1,0
367.9058794975281,9.6,0
368.91312289237976,6.9,11
369.9146273136139,10.3,0
370.91560673713684,9.7,0
371.9340012073517,6.5,0
372.9543523788452,7.1,0
373.9745423793793,6.6,0
374.99307560920715,6.9,0
376.04218196868896,5.9,0
377.06760144233704,8.9,0
