Timestamp,CPU_Usage_Percent,GPU_Usage_Percent
0.0,8.5,0
1.005420446395874,14.6,7
2.046447992324829,14.9,5
3.0616745948791504,14.5,9
4.065962791442871,15.7,6
5.077358722686768,11.6,3
6.104611158370972,18.2,8
7.125120162963867,18.8,8
8.133046627044678,12.7,7
9.174657344818115,19.6,7
10.202496528625488,10.3,5
11.210017442703247,15.7,5
12.218219518661499,12.3,6
13.23387098312378,10.7,4
14.26056456565857,10.3,5
15.268914699554443,10.9,7
16.283174514770508,9.9,5
17.327556133270264,10.7,5
18.358872413635254,10.8,4
19.36771273612976,10.3,6
20.390018463134766,11.8,6
21.40559959411621,11.9,5
22.412665843963623,12.0,5
23.42728018760681,10.8,6
24.45285940170288,11.1,6
25.49957013130188,10.9,5
26.530707359313965,12.2,6
27.546321392059326,9.2,6
28.57761001586914,9.8,4
29.593055963516235,11.7,5
30.608587741851807,11.4,5
31.633676767349243,8.9,6
32.67118573188782,9.6,10
33.708518743515015,10.8,4
34.718071937561035,25.0,6
35.733999490737915,11.2,6
36.74064087867737,10.7,4
37.76519155502319,10.7,4
38.790719509124756,11.1,6
39.811994552612305,8.7,7
40.82749581336975,11.3,5
41.84301447868347,10.5,4
42.858254194259644,17.3,4
43.87478017807007,10.9,5
44.896461486816406,11.8,3
45.921576738357544,9.3,4
46.958271503448486,11.0,5
47.99972319602966,9.6,6
49.03252196311951,11.8,3
50.0366415977478,11.5,4
51.04651212692261,9.2,6
52.07784962654114,20.2,6
53.1086220741272,10.6,4
54.12957954406738,10.2,4
55.155786752700806,10.0,4
56.17134428024292,10.6,12
57.18669390678406,10.4,4
58.206483364105225,11.0,4
59.24923777580261,11.7,5
60.25250506401062,9.3,6
61.26502346992493,11.3,9
62.28084945678711,17.4,4
63.28787684440613,12.1,6
64.29006505012512,10.2,7
65.3121771812439,10.3,5
66.34296584129333,10.5,5
67.36538648605347,11.5,6
68.40570831298828,10.9,5
69.42117118835449,9.3,5
70.42704010009766,14.6,5
71.44625639915466,17.6,8
72.44765281677246,20.7,8
73.47553014755249,22.7,9
74.49509048461914,30.3,9
75.4965169429779,19.9,10
76.50808644294739,18.8,14
77.53264784812927,11.7,7
78.57106328010559,17.7,8
79.59511923789978,10.2,4
80.60505294799805,11.4,8
81.62553262710571,13.3,8
82.6554913520813,8.8,6
83.666100025177,15.0,7
84.69542002677917,21.0,7
85.73387837409973,16.0,1
86.7479772567749,13.1,7
87.74991416931152,7.0,1
88.75344824790955,6.8,4
89.77407836914062,10.8,5
90.78744411468506,7.6,4
91.80357217788696,8.8,2
92.8286862373352,6.6,4
93.83149743080139,6.4,4
94.84750485420227,10.7,9
95.85083985328674,5.9,0
96.86304903030396,10.8,7
97.87649750709534,14.3,1
98.8813226222992,10.0,7
99.89488005638123,8.0,6
100.91283965110779,9.0,5
101.91811966896057,13.5,3
102.93359565734863,8.6,7
103.93765878677368,7.4,0
104.95340061187744,7.8,0
105.96918106079102,14.3,9
106.97346878051758,14.1,5
107.98463249206543,0.0,0
108.99877047538757,1.3,0
110.01219439506531,10.6,4
111.01638436317444,9.3,7
112.02752304077148,6.4,7
113.03129625320435,0.8,0
114.04374313354492,6.0,0
115.04705619812012,5.5,0
116.0530219078064,5.1,6
117.05496740341187,7.4,0
118.0582377910614,7.4,1
119.06001305580139,17.7,5
120.07846641540527,9.5,1
121.0805127620697,7.0,0
122.08250284194946,6.1,0
123.09626030921936,9.9,5
124.09787249565125,10.5,5
125.11167693138123,9.0,5
126.1263222694397,9.6,4
127.13045334815979,11.8,2
128.1339032649994,36.1,5
129.14242243766785,9.8,7
130.1585943698883,5.1,5
131.17213487625122,7.7,0
132.17860579490662,13.2,0
133.18203330039978,8.0,1
134.19132375717163,12.2,8
135.20356059074402,6.8,1
136.21985507011414,6.9,3
137.23567271232605,3.1,2
138.26582431793213,1.5,0
139.28119945526123,2.1,0
140.2825791835785,3.1,2
141.28816056251526,8.0,3
142.29834818840027,18.3,3
143.31338810920715,5.6,3
144.32913255691528,5.6,2
145.34436988830566,3.9,2
146.36061263084412,2.4,2
147.37596344947815,3.6,3
148.39199256896973,4.2,4
149.40716767311096,8.0,2
150.40953087806702,11.3,2
151.4248068332672,16.4,8
152.42598009109497,7.2,1
153.4362292289734,11.7,0
154.45240187644958,10.7,0
155.4564073085785,7.8,5
156.46901178359985,3.5,2
157.48356175422668,47.8,4
158.49552512168884,65.6,6
159.49993801116943,48.7,6
